index,two-k,fifteen-Hun,weight,age,reps
360,10.2,11.4,75.8,21,8
361,8.9,8.08,82.4,22,6
362,12.5,14.64,92.1,25,12
363,12.3,14,88.1,25,12
364,11.7,13.83,96.1,23,12
365,10.9,12.24,79.2,22,12
366,10.8,11,80.1,23,12
367,9.9,11.24,71.7,26,12
368,11.2,11.32,88,22,12
369,8.5,10.96,72.1,22,12
370,10.4,10.13,78.2,23,12
371,9.6,10.17,76.4,24,12
372,11.7,14.13,88.2,21,11
373,11.9,13.17,94.1,21,4
374,11.9,14.45,89.2,23,3
375,9.9,11.42,78.6,23,3
376,11.7,15.04,88.2,21,12
377,12.5,12.52,92.1,25,12
378,12.3,14,88.1,25,14
379,11.9,12.83,89.2,23,14
380,9.9,11.48,78.6,23,12
381,9.9,12.17,73.4,21,12
382,10.4,11.28,78.2,23,12
383,11.2,12.57,88,22,12
384,9.9,10.04,71.7,26,12
385,9.6,11.04,76.4,24,12
386,12.1,12.96,79,23,8
387,11.9,14.13,94.1,21,6
388,10.8,10.32,80.1,23,4
389,8.9,9.42,82.4,22,2
390,11.7,12.29,96.1,23,12
391,12,11.56,90.6,23,10
392,10.5,11.36,80,20,10
393,9.7,12.17,80.6,20,10
394,8.5,10.48,72.1,22,10
395,10,10.2,77.3,23,10
396,10.3,12.17,74.4,23,4
397,12.5,13.19,92.1,25,12
398,12.3,14.43,88.1,25,10
399,11.9,12.38,89.2,23,14
400,11.2,11.64,88,22,10
401,10.4,12.88,78.2,23,10
402,9.9,11.65,73.4,21,10
403,11.7,13.27,88.2,21,4
404,10.5,12.43,80,20,8
405,8.5,10.73,72.1,22,12
406,12,11.13,90.6,23,5
407,10.3,11.46,74.4,23,5
408,9.7,11.5,80.6,20,2
409,11.7,7,96.1,23,2
410,12.5,13.96,92.1,25,10
411,11.9,13.04,94.1,21,10
412,9.9,11.38,71.7,26,10
413,10.4,11.84,78.2,23,10
414,11.2,9.35,88,22,10
415,9.9,11.61,78.6,23,5
416,10.4,12.32,82.3,24,4
417,10.2,10.17,75.8,21,6
418,12,11.64,90.6,23,8
419,8.5,10.7,72.1,22,10
420,10,8.85,77.3,23,8
421,10.3,12.3,74.4,23,5
422,10.5,12.65,80,20,4
423,9.7,11.38,80.6,20,4
424,10.2,12,81.8,25,1
