index,two-k,weight,age,fifteen-Hun
337,9.7,80.6,20,11.5
338,11.7,96.1,23,7
339,12.5,92.1,25,13.96
340,11.9,94.1,21,13.04
341,9.9,71.7,26,11.38
342,10.4,78.2,23,11.84
343,11.2,88,22,9.35
344,9.9,78.6,23,11.61
345,10.4,82.3,24,12.32
346,8.5,72.1,22,10.7
347,10,77.3,23,8.85
348,10.3,74.4,23,12.3
349,10.5,80,20,12.65
350,9.7,80.6,20,11.38
